time_sec	mag	mag_err	band	system	telescope	extcorr	source
75487.1999999648	17.32	0.12	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
105208.8000003621	18.12	0.12	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
125512.8000004124	18.74	0.14	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
159122.40000003015	19.53	0.17	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
192732.0000002766	20.44	0.21	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
192991.2000000151	20.24	0.2	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
215109.6000001207	20.81	0.33	g	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
212618.99999992456	18.37	0.03	i	AB	LSO/Danish(1.54m)/DFOSC	y	Rossi2020
987745.600000322	22.32	0.02	F814W	AB	Hubble/HST/WFC3	y	Rossi2020
192127.19999983907	19.06	0.07	V	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
214504.8000003118	19.33	0.18	V	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
246904.8000003118	19.77	0.2	V	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
277836.0000003269	19.89	0.19	V	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
40840.80000013579	17.35	0.02	V	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
124130.40000013076	18.22	0.08	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
124536.4799999306	18.16	0.05	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
124657.4400000181	18.13	0.08	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
128147.99999984913	18.14	0.04	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
128260.3200001549	18.16	0.06	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
128355.36000026856	18.18	0.04	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
131223.84000009857	18.25	0.06	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
131310.2400004305	18.18	0.1	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
211169.76000032388	19.4	0.11	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
213640.8000001358	19.51	0.08	V	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
215057.760000173	19.53	0.12	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
218280.4799998552	19.59	0.2	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
297336.4799999306	20.54	0.2	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
301388.6400000332	20.55	0.15	V	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
41791.20000001509	17.49	0.04	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
73845.59999994468	17.31	0.04	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
104172.00000015087	17.95	0.04	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
124476.00000020117	18.23	0.04	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
158085.6000004476	18.69	0.05	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
192732.0000002766	19.11	0.06	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
192991.2000000151	19.11	0.06	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
212603.99999992456	19.56	0.07	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
212949.59999999497	19.48	0.07	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
215023.20000041745	19.46	0.06	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
215282.4000001559	19.36	0.05	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
246213.600000171	19.68	0.05	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
246559.2000002414	19.61	0.05	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
248632.8000000352	19.53	0.07	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
248892.0000004024	19.56	0.08	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
278095.2000000654	20.13	0.13	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
278440.8000001358	19.99	0.06	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
385749.59999999497	20.64	0.09	w	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
42223.20000041742	17.46	0.01	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
126895.20000006538	17.23	0.01	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
213295.2000000653	17.51	0.02	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
299003.99999992456	17.76	0.01	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
385403.99999992456	18.07	0.02	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
558895.2000000654	18.71	0.04	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
645295.2000000654	19.24	0.07	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
731003.9999999246	19.67	0.09	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
817403.9999999246	20.09	0.14	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
817753.2000002917	20.69	0.11	z	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
212618.99999992456	18.01	0.13	z	AB	LSO/Danish(1.54m)/DFOSC	y	Rossi2020
384513.60000004526	18.73	0.01	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
729502.3999999044	20.28	0.03	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
816247.9999999749	20.85	0.04	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
817373.9999999246	20.69	0.11	z	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
1161542.3999999044	22.3	0.28	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
1682049.599999995	23.37	0.48	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
124186.79999983404	17.69	0.02	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
210774.59999986924	18.77	0.04	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
297865.80000001006	19.27	0.01	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
470507.99999997485	20.39	0.03	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
124517.39999990445	17.69	0.02	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
210907.39999990445	18.77	0.04	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
298196.40000008047	19.28	0.01	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
385550.4000002565	19.86	0.01	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
470112.3999999045	20.39	0.03	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
731243.9999999246	21.75	0.05	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
817643.9999999246	22.2	0.04	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
904343.9999999246	22.45	0.07	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
1075502.3999999044	23.12	0.31	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
388348.7999998592	22.335737610546825	0.128	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
561208.7999998592	23.413737610546825	0.251	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
733144.8000003118	24.187737610546826	0.363	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
130095.6000000704	18.670037934272766	0.037	B	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
