	time_sec	mag	mag_err	band	rescaled_to	band_og	system	telescope	source
0	4.67016511858963	18.44104910273576	0.061817944	U	white	U	AB	NGSO/Swift/UVOT	Roming2017
1	4.6735807030869925	18.35964459975154	0.032571588	white	white	white	AB	NGSO/Swift/UVOT	Roming2017
2	4.676975309647545	18.325183974818952	0.10495931	V	white	V	AB	NGSO/Swift/UVOT	Roming2017
3	4.678723826500275	17.10360297481895	0.2922787	V	white	V	AB	NGSO/Swift/UVOT	Roming2017
4	4.71390976405453	18.62339710273576	0.049657922	U	white	U	AB	NGSO/Swift/UVOT	Roming2017
5	4.719680151963481	18.68218059975154	0.028343422	white	white	white	AB	NGSO/Swift/UVOT	Roming2017
6	4.725378386135339	18.883477974818952	0.10124098	V	white	V	AB	NGSO/Swift/UVOT	Roming2017
7	4.759331608399761	18.83528210273576	0.05475763	U	white	U	AB	NGSO/Swift/UVOT	Roming2017
8	4.764757737558543	18.89736559975154	0.031655166	white	white	white	AB	NGSO/Swift/UVOT	Roming2017
9	4.7700689780183305	19.08167097481895	0.112216644	V	white	V	AB	NGSO/Swift/UVOT	Roming2017
10	4.799815407055785	18.94984710273576	0.06731175	U	white	U	AB	NGSO/Swift/UVOT	Roming2017
11	4.837754044552202	18.68477113997102	0.22	V	white	V	AB	CTIO/PROMPT-2/ApogeeAltaU47	arXiv1004.2900
12	4.837917569304145	18.645587055712195	0.16	R	white	R	AB	CTIO/PROMPT-4/ApogeeAltaU47	arXiv1004.2900
13	4.838843048337212	17.981093925429004	0.19	I	white	I	AB	CTIO/PROMPT-5/ApogeeAltaU47	arXiv1004.2900
14	4.843004462307241	19.03716710273576	0.07573844	U	white	U	AB	NGSO/Swift/UVOT	Roming2017
15	4.8459426867162065	19.00873059975154	0.042081658	white	white	white	AB	NGSO/Swift/UVOT	Roming2017
16	4.8481485924995065	19.048570974818954	0.14445403	V	white	V	AB	NGSO/Swift/UVOT	Roming2017
17	4.852967691028819	18.08109392542901	0.07	I	white	I	AB	CTIO/PROMPT-5/ApogeeAltaU47	arXiv1004.2900
18	4.853441208591886	18.445587055712192	0.05	R	white	R	AB	CTIO/PROMPT-4/ApogeeAltaU47	arXiv1004.2900
19	4.855155577176994	18.734771139971016	0.1	V	white	V	AB	CTIO/PROMPT(16inch)/ApogeeAltaU47	9937
20	4.856323762649089	19.04477113997102	0.1	V	white	V	AB	CTIO/PROMPT-2/ApogeeAltaU47	arXiv1004.2900
21	4.857332496431268	18.015587055712192	0.03	R	white	R	AB	CTIO/PROMPT(16inch)/ApogeeAltaU47	9937
22	4.857332496431268	18.201093925429003	0.04	I	white	I	AB	CTIO/PROMPT(16inch)/ApogeeAltaU47	9937
