grb,ra,dec,coorderr,z
970228A,05h01m57s,+11° 46.4',3',0.695
970508A,06h53m28s,+79° 17.4',3',0.83
971214A,11h56m30s,+65° 12.0',4',3.42
980329A,07h02m41s,+38° 50.7',3',3.5
980425A,19h34m54s,-52° 49.9',8',0.0085
980613A,10h17m46s,+71° 29.9',4',1.096
980703A,23h59m07s,+08° 35.6',4',0.966
990123A,15h25m29s,+44° 45',2',1.6
990510A,13h38m06s,-80° 30',3',1.62
990705A,05h09m32s,-72° 09',6',0.842
990712A,22h31m50s,-73° 24',2',0.434
991208A,16h33m55s,+46° 26',14*1',0.706
991216A,05h19m31s,+11° 11',3'*5',1.02
000131A,06h13m33s,-51° 56',3.5'*16',4.5
000301C,16h20m22s,+29° 25',6'*8',2.03
000418A,12h25m21s,+20° 05',4'*8',1.118
000911A,02h18m42s,+07° 48',3'*10',1.058
000926A,17h04m15s,+51° 46',3'*10',2.04
010222A,14h52m12s,+43° 01',2.5',1.47688
010921A,22h55m35s,+40° 56',20*15',0.45
011121A,11h34m25s,-76° 02',2',0.36
011211A,11h15m16s,-21° 56',1',2.14
020124A,09h33m08s,-11° 35',19',3.198
020405A,13h58m10s,-31° 23',15'*5',0.69
020813A,19h46m38s,-19° 35',1',1.25
020903A,22h49m01s,-20° 56',16',0.25
021004A,00h26m56s,+18° 56',2',2.34
021211A,08h08m55s,+06° 44',14',1.01
030115A,11h18m30s,15° 02',2',2
030226A,11h33m05s,+25° 54',2',1.99
030323A,11h06m06s,-21° 54',12',3.372
030328A,12h10m46s,-09° 22',2',1.52
030329A,10h44m50s,+21° 31',2',0.17
030429A,12h13m07s,-20° 54,1.5'',2.658
030528A,17h04m02s,-22° 39',2',0.782
031203A,08h02m30s,-39° 51',2.5',0.105
040924A,02h06m19s,+16° 01',6',0.86
041006A,00h54m53s,+01° 12',5',0.72
041219A,00h24m26s,+62° 50',2',0.3
050126A,18h32m27s,+42° 23',4',1.29
050215B,11h37m48s,+40° 48',4',2.62
050223A,18h05m32s,-62° 30',4',0.5915
050315A,20h25m53s,-42° 35',4',1.949
050318A,03h18m43s,-46° 24',4',1.44
050319A,10h16m38s,+43° 34',4',3.24
050401A,16h31m31s,+02° 11',4',2.8992
050406A,02h17m43s,-50° 10',4',2.44
050408A,12h01m55s,+10° 52',2.5',1.24
050416A,12h33m54s,+21° 03',4',0.65
050502A,13h29m46s,+42° 40',3',3.79
050502B,09h30m10s,+17° 00',4',5.2
050505A,09h27m08s,+30° 15',4',4.27
050525A,18h32m35s,+26° 20',4',0.61
050603A,02h39m55s,-25° 11',4',2.821
050709A,23h01m30s,-38° 59',1.3',0.1606
050724A,16h24m51s,-27° 31',4',0.258
050730A,14h08m16s,-03° 46',4',3.97
050801A,13h36m33s,-21° 57',4',1.56
050802A,14h37m09s,+27° 48',4',1.7102
050803A,23h22m36s,+05° 48',4',3.5
050814A,17h36m49s,+46° 20',4',5.77
050820A,22h29m36s,+19° 35',4',2.61
050824A,00h48m56s,+22° 36,1.6'',0.83
050826A,05h50m55s,-02° 41',4',0.297
050904A,00h54m41s,+14° 08',4',6.295
050908A,01h21m51s,-12° 58',4',3.34
050915A,05h26m51s,-28° 02',4',2.5273
