Bandpass	lambda_eff	2.1	3.1	4.1	5.1	lam_round
Landolt U	3508.2	5.614	4.334	3.773	3.46	3510
Landolt B	4329	4.355	3.626	3.29	3.096	4330
Landolt V	5421.7	2.953	2.742	2.645	2.589	5420
Landolt R	6427.8	2.124	2.169	2.189	2.201	6430
Landolt I	8048.4	1.41	1.505	1.548	1.573	8050
CTIO U	3733.9	5.17	4.107	3.628	3.355	3730
CTIO B	4308.9	4.382	3.641	3.3	3.104	4310
CTIO V	5516.6	2.857	2.682	2.6	2.553	5520
CTIO R	6520.2	2.055	2.119	2.149	2.166	6520
CTIO I	8006.9	1.42	1.516	1.561	1.587	8010
UKIRT J	12482.9	0.764	0.709	0.684	0.669	12480
UKIRT H	16588.4	0.502	0.449	0.425	0.411	16590
UKIRT K	21897.7	0.331	0.302	0.288	0.28	21900
UKIRT L'	37772.5	0.159	0.153	0.15	0.148	37770
Gunn g	5200	3.225	2.914	2.77	2.687	5200
Gunn r	6628.5	1.959	2.055	2.099	2.125	6630
Gunn i	7898.6	1.454	1.555	1.601	1.628	7900
Gunn z	9050.1	1.188	1.234	1.255	1.267	9050
Spinrad Rs	6927.3	1.81	1.921	1.972	2.002	6930
Stromgren u	3510	5.539	4.305	3.759	3.452	3510
Stromgren b	4670.5	3.916	3.35	3.089	2.938	4670
Stromgren v	4119.2	4.619	3.793	3.411	3.191	4120
Stromgren beta	4861.3	3.655	3.183	2.966	2.84	4860
Stromgren y	5478.9	2.862	2.686	2.605	2.557	5480
SDSS u	3586.8	5.419	4.239	3.715	3.419	3590
SDSS g	4716.7	3.843	3.303	3.054	2.91	4720
SDSS r	6165.1	2.255	2.285	2.3	2.308	6170
SDSS i	7475.9	1.583	1.698	1.751	1.782	7480
SDSS z	8922.9	1.211	1.263	1.286	1.3	8920
DSS-II g	4620.6	3.97	3.381	3.11	2.954	4620
DSS-II r	6545.5	1.991	2.088	2.133	2.159	6550
DSS-II i	8111	1.396	1.487	1.53	1.554	8110
PS1 g	4876.7	3.634	3.172	2.958	2.835	4880
PS1 r	6200.1	2.241	2.271	2.284	2.292	6200
PS1 i	7520.8	1.568	1.682	1.734	1.765	7520
PS1 z	8665.3	1.258	1.322	1.352	1.369	8670
PS1 y	9706.3	1.074	1.087	1.094	1.097	9710
PS1 w	6240.8	2.425	2.341	2.302	2.28	6240
LSST u	3693.2	5.243	4.145	3.652	3.373	3690
LSST g	4797.3	3.739	3.237	3.006	2.872	4800
LSST r	6195.8	2.245	2.273	2.286	2.294	6200
LSST i	7515.3	1.571	1.684	1.737	1.767	7520
LSST z	8664.4	1.259	1.323	1.353	1.37	8660
LSST y	9710.3	1.075	1.088	1.094	1.098	9710
WFPC2 F300W	3087.6	6.777	4.902	4.127	3.71	3090
WFPC2 F450W	4587	4.014	3.41	3.132	2.971	4590
WFPC2 F555W	5439.4	2.976	2.755	2.653	2.594	5440
WFPC2 F606W	5984.8	2.469	2.415	2.389	2.375	5980
WFPC2 F702W	6887.9	1.85	1.948	1.994	2.02	6890
WFPC2 F814W	7940	1.452	1.549	1.594	1.62	7940
WFC3 F105W	10438.9	0.981	0.969	0.964	0.961	10440
WFC3 F110W	11169.7	0.907	0.881	0.87	0.863	11170
WFC3 F125W	12335.5	0.778	0.726	0.701	0.687	12340
WFC3 F140W	13692.3	0.672	0.613	0.586	0.57	13690
WFC3 F160W	15258.3	0.57	0.512	0.485	0.469	15260
WFC3 F200LP	5515.2	3.457	2.958	2.743	2.625	5520
WFC3 F218W	2248.3	12.405	7.76	5.956	5.027	2250
WFC3 F225W	2394	10.907	6.989	5.458	4.666	2390
WFC3 F275W	2742.5	7.986	5.487	4.488	3.963	2740
WFC3 F300X	2934.5	7.437	5.228	4.331	3.854	2930
WFC3 F336W	3366.4	5.835	4.453	3.853	3.519	3370
WFC3 F350LP	5877.1	2.876	2.624	2.509	2.443	5880
WFC3 F390W	3994.8	4.803	3.896	3.481	3.244	3990
WFC3 F438W	4335.3	4.347	3.623	3.288	3.095	4340
WFC3 F475W	4785	3.755	3.248	3.013	2.878	4790
WFC3 F475X	4969.7	3.548	3.116	2.917	2.803	4970
WFC3 F555W	5302.8	3.135	2.855	2.726	2.652	5300
WFC3 F600LP	7362.3	1.688	1.781	1.824	1.849	7360
WFC3 F606W	5868.5	2.581	2.488	2.445	2.421	5870
WFC3 F625W	6225.8	2.23	2.259	2.273	2.281	6230
WFC3 F775W	7630.9	1.533	1.643	1.694	1.724	7630
WFC3 F814W	7983.1	1.441	1.536	1.58	1.605	7980
WFC3 F850LP	9149.7	1.168	1.208	1.226	1.237	9150
ACS clear	6211.1	2.612	2.436	2.356	2.309	6210
ACS F435W	4348.3	4.33	3.61	3.278	3.087	4350
ACS F475W	4760.3	3.787	3.268	3.028	2.89	4760
ACS F550M	5581	2.754	2.62	2.558	2.522	5580
ACS F555W	5361.3	3.031	2.792	2.682	2.618	5360
ACS F606W	5901	2.555	2.471	2.431	2.409	5900
ACS F625W	6298.1	2.171	2.219	2.241	2.254	6300
ACS F775W	7673.5	1.52	1.629	1.679	1.708	7670
ACS F814W	8012.4	1.432	1.526	1.569	1.594	8010
ACS F850LP	9007.5	1.196	1.243	1.265	1.277	9010
DES g	4796.6	3.739	3.237	3.006	2.872	4800
DES r	6382.6	2.113	2.176	2.205	2.221	6380
DES i	7769	1.49	1.595	1.644	1.672	7770
DES z	9108.2	1.175	1.217	1.236	1.247	9110
DES Y	9850.4	1.051	1.058	1.061	1.063	9850
Swift u	3465	-999	4.89172	-999	-999	3470
Swift v	5468	-999	2.99692	-999	-999	5470
Swift b	4392	-999	4.00555	-999	-999	4390
Swift uvw1	2600	-999	6.55663	-999	-999	2600
Swift uvw2	1928	-999	8.10997	-999	-999	1930
Swift uvm2	2246	-999	9.15389	-999	-999	2250
						
						
"# Taken from Schlafly & Finkbeiner (2011)						
# http://adsabs.harvard.edu/abs/2011ApJ...737..103S						
# Table 6						
# F99 Reddening in Different Bandpasses						
# ZP taken from sources listed						
						
"# Notes. Ab/E(B - V)SFD in different bandpasses b, evaluated according to an F99 reddening law with normalization"						
"# N = 0.78 and RV = 2.1, 3.1, 4.1, and 5.1, using a 7000 K source spectrum. The column lambdaeff gives the"						
"# throughput-weighted mean wavelength in the bandpass. When used with RV = 3.1, these give the coefficients to use with E(B - V)SFD"						
# to get reddenings consistent with the results of this work and Schlafly et al. (2010). The values for other RV are provided only for convenience.						
						
# Swift values are added by S. Young (2021/08/14). Central wavelengths are taken from Poole et al. (2008) and Ab/E(B - V)SFD is gathered from						
# the York Extinction Solver (McCall (2004)). Values are only given for RV = 3.1.						
