filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
Average.None.None.Johnson.U	3630.98	1780.3	notfound	0.800527
Average.None.None.Johnson.B	4357.24	3897.71	notfound	-0.107512
Average.None.None.Johnson.V	5339.32	3562	notfound	0.006521
Average.None.None.Johnson.R	7606.15	2935.65	notfound	0.190278
Average.None.None.Johnson.I	8232.9	2347.46	notfound	0.431372
Average.None.None.Cousins.Rc	6406.41	3002.3	notfound	0.117
Average.None.None.Cousins.Ic	7590.5	2387.34	notfound	0.342
Average.None.None.Harris.B	4555.91	3726.21	notfound	0.131
Average.None.None.Harris.V	5400.89	3614.33	notfound	0.006
Average.None.None.Harris.R	6436.51	2956.49	notfound	-0.168
Average.None.None.Harris.I	8126.65	2393.54	notfound	-0.41
Average.None.None.SDSS.up	3542.86	1636.26	notfound	0.9
Average.None.None.SDSS.u	3579.22	1627.99	notfound	0.9
Average.None.None.SDSS.gp	4747.03	3812.91	notfound	-0.125
Average.None.None.SDSS.g	3794.76	1572.35	notfound	-0.125
Average.None.None.SDSS.rp	6208.2	3149.8	notfound	0.119
Average.None.None.SDSS.r	6290.02	3093.32	notfound	0.119
Average.None.None.SDSS.ip	7629.65	2579.1	notfound	0.332
Average.None.None.SDSS.i	7635.1	2646.91	notfound	0.332
Average.None.None.SDSS.zp	9345.61	2129.91	notfound	0.494
Average.None.None.SDSS.z	7956.03	2612.4	notfound	0.494
Average.None.None.Gunn.g	5030.68	3840.8	notfound	-0.013
Average.None.None.Gunn.g_Gunn	5030.68	3840.8	notfound	-0.013
Average.None.None.Gunn.r	6099.32	2953.29	notfound	-0.226
Average.None.None.Gunn.r_Gunn	6099.32	2953.29	notfound	-0.226
Average.None.None.Gunn.i	8033.44	2424.09	notfound	-0.296
Average.None.None.Gunn.i_Gunn	8033.44	2424.09	notfound	-0.296
Average.None.None.Gunn.z	9502.65	2126.68	notfound	0.494
Average.None.None.Gunn.z_Gunn	9502.65	2126.68	notfound	0.494
Average.None.None.Gunn.u	3454.31	1289.33	notfound	0.9
Average.None.None.Gunn.u_Gunn	3454.31	1289.33	notfound	0.9
Average.None.None.Gunn.v	4016.81	3634.85	-0.756072	-0.132136
