lam	Rv
1000	15.393
1010	15.037876
1020	14.698609
1030	14.374266
1040	14.064038
1050	13.767213
1060	13.483156
1070	13.21129
1080	12.951088
1090	12.702058
1100	12.463739
1110	12.235695
1120	12.017508
1130	11.808777
1140	11.609116
1150	11.41815
1160	11.235517
1170	11.060864
1180	10.893849
1190	10.73414
1200	10.581415
1210	10.435363
1220	10.295681
1230	10.162078
1240	10.034273
1250	9.911996
1260	9.794988
1270	9.683
1280	9.575794
1290	9.473144
1300	9.374833
1310	9.280657
1320	9.190421
1330	9.103942
1340	9.021046
1350	8.941571
1360	8.865365
1370	8.792283
1380	8.722193
1390	8.65497
1400	8.590499
1410	8.528674
1420	8.469397
1430	8.412576
1440	8.35813
1450	8.305983
1460	8.256068
1470	8.208322
1480	8.162691
1490	8.119125
1500	8.077582
1510	8.038022
1520	8.000413
1530	7.964726
1540	7.930939
1550	7.899031
1560	7.868987
1570	7.840794
1580	7.814445
1590	7.789933
1600	7.767257
1610	7.746416
1620	7.727413
1630	7.710252
1640	7.694941
1650	7.681488
1660	7.669904
1670	7.660201
1680	7.652392
1690	7.646491
1700	7.642514
1710	7.640477
1720	7.640398
1730	7.642294
1740	7.646183
1750	7.652086
1760	7.660019
1770	7.670004
1780	7.682059
1790	7.696205
1800	7.71246
1810	7.730844
1820	7.751377
1830	7.774077
1840	7.798965
1850	7.826057
1860	7.855373
1870	7.88693
1880	7.920746
1890	7.956837
1900	7.995221
1910	8.035912
1920	8.078927
1930	8.124279
1940	8.171983
1950	8.222053
1960	8.274501
1970	8.32934
1980	8.386581
1990	8.446235
2000	8.557813
2010	8.63346
2020	8.709857
2030	8.787885
2040	8.86758
2050	8.948356
2060	9.029186
2070	9.108762
2080	9.185617
2090	9.258233
2100	9.32512
2110	9.384882
2120	9.436267
2130	9.478202
2140	9.509816
2150	9.530455
2160	9.539688
2170	9.537307
2180	9.523316
2190	9.497926
2200	9.461532
2210	9.4147
2220	9.358144
2230	9.292702
2240	9.219313
2250	9.138993
2260	9.052809
2270	8.961851
2280	8.867212
2290	8.769959
2300	8.671112
2310	8.571618
2320	8.472329
2330	8.373985
2340	8.277188
2350	8.182386
2360	8.089856
2370	7.999686
2380	7.911762
2390	7.81518
2400	7.728934
2410	7.646637
2420	7.568049
2430	7.492949
2440	7.421128
2450	7.35239
2460	7.286551
2470	7.22344
2480	7.162895
2490	7.104766
2500	7.048911
2510	6.995198
2520	6.943503
2530	6.893708
2540	6.845706
2550	6.799393
2560	6.754674
2570	6.71146
2580	6.669666
2590	6.629213
2600	6.590027
2610	6.552039
2620	6.515185
2630	6.479403
2640	6.444636
2650	6.410831
2660	6.377938
2670	6.34591
2680	6.314702
2690	6.284274
2700	6.254586
2710	6.225603
2720	6.197289
2730	6.169614
2740	6.142547
2750	6.11606
2760	6.090127
2770	6.064723
2780	6.039823
2790	6.015408
2800	5.991455
2810	5.967946
2820	5.944862
2830	5.922186
2840	5.899902
2850	5.877996
2860	5.856452
2870	5.835257
2880	5.814398
2890	5.793864
2900	5.773643
2910	5.753725
2920	5.734099
2930	5.714755
2940	5.695686
2950	5.676881
2960	5.658334
2970	5.640036
2980	5.621979
2990	5.604158
3000	5.586565
3010	5.569195
3020	5.55204
3030	5.535095
3040	5.518355
3050	5.501815
3060	5.485469
3070	5.469313
3080	5.453342
3090	5.437552
3100	5.421937
3110	5.406495
3120	5.391221
3130	5.376111
3140	5.361162
3150	5.346369
3160	5.33173
3170	5.317241
3180	5.302899
3190	5.288701
3200	5.274643
3210	5.260723
3220	5.246937
3230	5.233282
3240	5.219757
3250	5.206357
3260	5.193081
3270	5.179926
3280	5.166889
3290	5.153968
3300	5.141159
3310	5.128462
3320	5.115873
3330	5.103389
3340	5.09101
3350	5.078731
3360	5.066552
3370	5.05447
3380	5.042483
3390	5.030588
3400	5.018784
3410	5.007068
3420	4.995439
3430	4.983894
3440	4.972431
3450	4.961049
3460	4.949745
3470	4.938518
3480	4.927366
3490	4.916286
3500	4.905277
3510	4.894337
3520	4.883465
3530	4.872658
3540	4.861915
3550	4.851234
3560	4.840614
3570	4.830052
3580	4.819547
3590	4.809098
3600	4.798702
3610	4.788358
3620	4.778065
3630	4.767821
3640	4.757625
3650	4.747474
3660	4.737368
3670	4.727306
3680	4.717284
3690	4.707303
3700	4.69736
3710	4.687455
3720	4.677586
3730	4.667751
3740	4.65795
3750	4.648181
3760	4.638442
3770	4.628733
3780	4.619052
3790	4.609398
3800	4.599769
3810	4.590165
3820	4.580585
3830	4.571027
3840	4.56149
3850	4.551973
3860	4.542474
3870	4.532994
3880	4.52353
3890	4.514082
3900	4.504649
3910	4.49523
3920	4.485823
3930	4.476428
3940	4.467044
3950	4.45767
3960	4.448305
3970	4.438948
3980	4.429598
3990	4.420254
4000	4.396126
4010	4.388326
4020	4.38052
4030	4.372704
4040	4.364872
4050	4.357019
4060	4.349143
4070	4.34124
4080	4.333305
4090	4.325337
4100	4.317332
4110	4.309288
4120	4.301203
4130	4.293075
4140	4.284903
4150	4.276685
4160	4.26842
4170	4.260106
4180	4.251744
4190	4.243333
4200	4.234872
4210	4.22636
4220	4.217799
4230	4.209186
4240	4.200524
4250	4.191812
4260	4.18305
4270	4.174238
4280	4.165378
4290	4.15647
4300	4.147514
4310	4.138512
4320	4.129464
4330	4.120371
4340	4.111234
4350	4.102054
4360	4.092832
4370	4.08357
4380	4.074268
4390	4.064927
4400	4.055549
4410	4.046135
4420	4.036686
4430	4.027204
4440	4.01769
4450	4.008144
4460	3.998569
4470	3.988966
4480	3.979336
4490	3.96968
4500	3.96
4510	3.950297
4520	3.940573
4530	3.930828
4540	3.921065
4550	3.911283
4560	3.901486
4570	3.891674
4580	3.881848
4590	3.872009
4600	3.86216
4610	3.852301
4620	3.842433
4630	3.832558
4640	3.822677
4650	3.812791
4660	3.802901
4670	3.793009
4680	3.783115
4690	3.773221
4700	3.763327
4710	3.753436
4720	3.743548
4730	3.733663
4740	3.723784
4750	3.713911
4760	3.704045
4770	3.694187
4780	3.684338
4790	3.674498
4800	3.66467
4810	3.654853
4820	3.645049
4830	3.635258
4840	3.625482
4850	3.61572
4860	3.605974
4870	3.596245
4880	3.586533
4890	3.57684
4900	3.567164
4910	3.557508
4920	3.547873
4930	3.538258
4940	3.528664
4950	3.519092
4960	3.509542
4970	3.500016
4980	3.490513
4990	3.481034
5000	3.47158
5010	3.462151
5020	3.452747
5030	3.44337
5040	3.434018
