time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
79013.0	19.015095504417676	0.0	Clear	AB	ISU/MASTER-Tunka/Apogee-ALTA-U16M	y	23245	no
83600.0	18.52923598190598	0.23	U	AB	NGSO/Swift/UVOT	y	23241	no
87200.0	18.499235981905983	0.11	U	AB	NGSO/Swift/UVOT	y	23241	no
92800.0	18.679235981905983	0.17	U	AB	NGSO/Swift/UVOT	y	23241	no
119394.0	19.317266773849163	0.01	r	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
119394.0	18.240164239240425	0.04	H	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
119394.0	19.058340329425786	0.01	i	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
119394.0	18.660700996182428	0.03	Y	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
119394.0	18.53835638645694	0.05	J	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
119394.0	18.83319159491393	0.03	z	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23238	no
122760.0	19.26036873229204	0.1	w	AB	OAN/DDOTI/CCD	y	23253	no
173218.0	20.18726677384916	0.02	r	AB	TuNO/RTT150/TFOSC	y	23287	no
173218.0	19.898340329425785	0.02	i	AB	TuNO/RTT150/TFOSC	y	23287	no
173218.0	20.689528733038795	0.02	g	AB	TuNO/RTT150/TFOSC	y	23287	no
179446.0	19.74803436245501	0.05	R	AB	TSAO/Zeiss-1000/CCD	y	23244	no
185674.0	20.550043785821227	0.2	g	AB	ORM/GOTO(40cm)/CCD	y	23252	no
189000.0	20.4480312410955	0.05	g'	AB	OAJ/JAST80(0.8m)/T80Cam	y	23255	no
190339.0	20.07636633507165	0.08	r'	AB	OAJ/JAST80(0.8m)/T80Cam	y	23255	no
192326.0	19.798645537173304	0.07	i'	AB	OAJ/JAST80(0.8m)/T80Cam	y	23255	no
193648.0	19.52012547180857	0.07	z'	AB	OAJ/JAST80(0.8m)/T80Cam	y	23255	no
198720.0	20.17860543628803	0.04	r	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	23246	no
206100.0	20.06036873229204	0.31	w	AB	OAN/DDOTI/CCD	y	23253	no
210150.0	19.040164239240426	0.03	H	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
210150.0	19.480700996182428	0.02	Y	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
210150.0	19.64319159491393	0.02	z	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
210150.0	19.93834032942578	0.01	i	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
210150.0	19.268356386456936	0.02	J	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
210150.0	20.26726677384916	0.01	r	AB	OAN/HaroldJohnson(1.5m)/RATIR	y	23243	sed/X/Y
248696.0	20.388034362455013	0.07	R	AB	TSAO/Zeiss-1000/CCD	y	23249	no
272765.0	20.16458895493567	0.06	Ic	AB	OSN/T150(1.5m)/CCDT150	y	23256	no
322618.0	21.01726677384916	0.03	r	AB	TuNO/RTT150/TFOSC	y	23288	no
361152.0	20.17563702948736	0.18	I	AB	Konkoly/60-90cm/ApogeeAltaU16	y	ATel12053	no
361152.0	20.53695631356366	0.19	V	AB	Konkoly/60-90cm/ApogeeAltaU16	y	ATel12053	no
361152.0	20.868034362455013	0.15	R	AB	Konkoly/60-90cm/ApogeeAltaU16	y	ATel12053	no
361152.0	20.97511109309861	0.28	B	AB	Konkoly/60-90cm/ApogeeAltaU16	y	ATel12053	no
409018.0	21.79726677384916	0.05	r	AB	TuNO/RTT150/TFOSC	y	23288	no
581818.0	22.08726677384916	0.1	r	AB	TuNO/RTT150/TFOSC	y	23288	no
