Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
747360.0	21.86	0.06	F336W	AB	Hubble/HST/WFC3	y	Cano2011	no
1365984.0	22.8	0.08	F336W	AB	Hubble/HST/WFC3	y	Cano2011	no
2147904.0	23.56	0.11	F336W	AB	Hubble/HST/WFC3	y	Cano2011	no
4090176.0	24.05	0.14	F336W	AB	Hubble/HST/WFC3	y	Cano2011	no
748483.2	19.5	0.01	V	Vega	Hubble/HST/WFC3	y	Cano2011	no
1367020.8	19.81	0.01	V	Vega	Hubble/HST/WFC3	y	Cano2011	no
2148681.6	20.52	0.02	V	Vega	Hubble/HST/WFC3	y	Cano2011	no
4091212.8	21.63	0.03	V	Vega	Hubble/HST/WFC3	y	Cano2011	no
11879136.0	23.07	0.08	V	Vega	Hubble/HST/WFC3	y	Cano2011	no
749520.0	19.0	0.01	i'	AB	Hubble/HST/WFC3	y	Cano2011	no
1368921.6	19.12	0.01	i'	AB	Hubble/HST/WFC3	y	Cano2011	no
2149718.4	19.59	0.01	i'	AB	Hubble/HST/WFC3	y	Cano2011	no
4092768.0	20.87	0.02	i'	AB	Hubble/HST/WFC3	y	Cano2011	no
11881555.2	22.7	0.06	i'	AB	Hubble/HST/WFC3	y	Cano2011	no
753408.0	19.89	0.07	F125W	AB	Hubble/HST/WFC3	y	Cano2011	no
1371168.0	20.09	0.07	F125W	AB	Hubble/HST/WFC3	y	Cano2011	no
2201472.0	20.1	0.07	F125W	AB	Hubble/HST/WFC3	y	Cano2011	no
754272.0	19.93	0.08	F160W	AB	Hubble/HST/WFC3	y	Cano2011	no
1372032.0	20.18	0.08	F160W	AB	Hubble/HST/WFC3	y	Cano2011	no
2204928.0	20.32	0.07	F160W	AB	Hubble/HST/WFC3	y	Cano2011	no
51667.2	20.45	0.03	B	Vega	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
301449.6	20.53	0.01	B	Vega	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
472348.8	20.22	0.01	B	Vega	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
610070.4	20.25	0.05	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
686016.0	20.14	0.03	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
860198.4	20.13	0.03	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
947376.0	20.19	0.06	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1467676.8	21.18	0.07	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1543363.2	21.3	0.05	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1724371.2	21.44	0.13	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1986681.6	21.83	0.11	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2242512.0	21.88	0.16	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2676153.6	22.27	0.1	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2929824.0	22.09	0.14	B	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
432604.8	19.64	0.02	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
612144.0	19.49	0.03	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
687398.4	19.48	0.02	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
772156.8	19.47	0.02	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
861408.0	19.47	0.03	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1468368.0	19.91	0.04	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1546473.6	19.96	0.02	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1642377.6	20.03	0.07	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1989878.4	20.29	0.04	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2241129.6	20.61	0.04	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
3060547.2	21.16	0.06	V	Vega	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
40262.4	20.21	0.01	Rc	Vega	CP/Gemini-South(8.1m)/GMOS	y	LiLiang(taken_from_Cano2011)	no
126748.8	20.09	0.01	Rc	Vega	CP/Gemini-South(8.1m)/GMOS	y	LiLiang(taken_from_Cano2011)	no
175219.2	20.03	0.03	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
212716.8	19.96	0.01	Rc	Vega	CP/Gemini-South(8.1m)/GMOS	y	LiLiang(taken_from_Cano2011)	no
249782.4	19.87	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
301795.2	19.77	0.01	Rc	Vega	CP/Gemini-South(8.1m)/GMOS	y	LiLiang(taken_from_Cano2011)	no
432259.2	19.47	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
472694.4	19.46	0.01	Rc	Vega	CP/Gemini-South(8.1m)/GMOS	y	LiLiang(taken_from_Cano2011)	no
681782.4	19.33	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
783820.8	19.29	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
951696.0	19.33	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
1035504.0	19.32	0.04	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
1386288.0	19.49	0.04	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
1470787.2	19.52	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
1721260.8	19.71	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
1985299.2	19.83	0.02	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
2242598.4	20.07	0.03	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
2586902.4	20.54	0.04	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
2929046.4	20.83	0.04	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
3188246.4	21.08	0.07	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
3282163.2	21.2	0.13	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
3967574.4	21.36	0.08	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
4222108.8	21.45	0.07	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
4739299.2	21.57	0.07	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
4955731.2	21.64	0.07	Rc	Vega	SSO/Faulkes-South(2m)/Merope	y	LiLiang(taken_from_Cano2011)	no
41385.6	20.04	0.01	i'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
302140.8	19.44	0.01	i'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
432172.8	19.14	0.02	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
473040.0	19.12	0.01	i'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
775180.8	19.04	0.01	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1384819.2	19.12	0.03	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1469232.0	19.18	0.02	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1637971.2	19.27	0.05	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1722816.0	19.34	0.02	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
1988323.2	19.55	0.03	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2244412.8	19.59	0.05	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
2928268.8	20.26	0.08	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
3198009.6	20.63	0.08	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
4013798.4	20.85	0.07	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
4267555.2	20.99	0.06	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
4915036.8	21.2	0.09	i'	AB	SSO/Faulkes-South(2m)/Merope	y	Cano2011	no
40608.0	19.91	0.11	z'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
301536.0	19.4	0.01	z'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
472608.0	19.15	0.01	z'	AB	CP/Gemini-South(8.1m)/GMOS	y	Cano2011	no
