Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
1128.0	20.4	0.1	R	USNO	PAO/VLT-UT2-Kueyen/X-SHOOTER	n	18540	no
4661.0	20.0	0.0	UVW1	AB	NGSO/Swift/UVOT	n	18546	no
4541.0	20.0	0.0	UVM2	AB	NGSO/Swift/UVOT	n	18546	no
4399.5	21.0	0.0	UVW2	AB	NGSO/Swift/UVOT	n	18546	no
42869.0	18.6	0.0	g'	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18547	no
42869.0	18.9	0.0	Rc	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18547	no
42869.0	18.5	0.0	Ic	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18547	no
93006.0	22.1	0.1	g'	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	21.9	0.1	r'	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	21.7	0.1	i'	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	21.5	0.1	z'	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	21.6	0.3	J	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	20.7	0.3	H	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
93006.0	19.8	0.0	K	AB	LSO/MPG-ESO(2.2m)/GROND	n	18550	no
40207.0	18.8	0.0	g'	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18551	no
40207.0	18.9	0.0	Rc	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18551	no
40207.0	18.3	0.0	Ic	GSC	OAO/MITSuME(50cm)/Alta-U6	n	18551	no
514.0	20.7	0.23	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
869.75	20.78	0.23	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
1272.05	20.8	0.47	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
1619.45	20.45	0.37	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
2398.45	20.94	0.46	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
6312.1	21.62	0.41	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
7747.0	21.46	0.37	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
105280.0	22.29	0.36	white	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
1020.35	20.53	0.0	B	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
2203.4	20.83	0.0	B	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
7542.35	21.27	0.0	B	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
31256.0	21.37	0.0	B	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
104368.15	22.17	0.0	B	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
994.1	20.32	0.0	U	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
2088.7	20.43	0.0	U	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
7337.3	20.4	0.37	U	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
19538.7	20.91	0.0	U	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
93752.8	21.19	0.34	U	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
833.15	19.51	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
1754.5	20.02	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
2534.2	18.72	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
7439.95	20.5	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
25271.35	20.57	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
99496.05	21.12	0.0	V	AB	NGSO/Swift/UVOT	n	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
