Time	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
10804.0	19.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
10992.0	19.1	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11111.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11151.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11189.0	17.9	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11227.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11267.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11304.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11343.0	18.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11381.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11495.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11683.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
11874.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
12063.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
12251.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34389	no
10804.0	19.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
10992.0	19.1	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11111.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11151.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11189.0	17.9	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11227.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11267.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11304.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11343.0	18.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11381.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11495.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
11683.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
12443.0	19.2	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
12630.0	19.0	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
12822.0	18.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
13010.0	18.6	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
13202.0	18.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
13389.0	18.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
13961.0	18.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
14149.0	18.6	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
15563.0	18.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
15750.0	18.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
15712.0	17.3	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
15823.0	17.4	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
16022.0	18.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16093.0	18.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16165.0	18.1	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16234.0	18.1	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16305.0	17.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16375.0	17.7	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16507.0	18.3	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16639.0	17.9	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16708.0	17.9	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
16792.0	17.4	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
16903.0	17.5	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
17581.0	17.9	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
17652.0	17.8	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
18078.0	17.2	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
18292.0	18.1	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
18411.0	17.5	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
18479.0	18.2	0.0	C	Vega	LMSU/MASTER-Tavrida/Apogee-ALTA-U16M	n	34390	no
18523.0	17.8	0.0	C	Vega	OAFA/MASTER-OAFA/Apogee-ALTA-U16M	n	34390	no
