grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
970228A,05h01m57s,+11° 46.4',3',0.695,0.78,0.02,mag-AB-extcorr-03-05-2023/970228A_magAB_extcorr.txt,mag-03-05-2023/970228A_mag.txt
970508A,06h53m28s,+79° 17.4',3',0.83,0.9,0.1,mag-AB-extcorr-03-05-2023/970508A_magAB_extcorr.txt,mag-03-05-2023/970508A_mag.txt
971214A,11h56m30s,+65° 12.0',4',3.42,0.87,0.13,mag-AB-extcorr-03-05-2023/971214A_magAB_extcorr.txt,mag-03-05-2023/971214A_mag.txt
980329A,07h02m41s,+38° 50.7',3',3.5,,,mag-AB-extcorr-03-05-2023/980329A_magAB_extcorr.txt,mag-03-05-2023/980329A_mag.txt
980425A,19h34m54s,-52° 49.9',8',0.0085,0.75,0.05,mag-AB-extcorr-03-05-2023/980425A_magAB_extcorr.txt,mag-03-05-2023/980425A_mag.txt
980613A,10h17m46s,+71° 29.9',4',1.096,0.3,1.1,mag-AB-extcorr-03-05-2023/980613A_magAB_extcorr.txt,mag-03-05-2023/980613A_mag.txt
980703A,23h59m07s,+08° 35.6',4',0.966,1.01,0.02,mag-AB-extcorr-03-05-2023/980703A_magAB_extcorr.txt,mag-03-05-2023/980703A_mag.txt
990123A,15h25m29s,+44° 45',2',1.6,0.75,0.07,mag-AB-extcorr-03-05-2023/990123A_magAB_extcorr.txt,mag-03-05-2023/990123A_mag.txt
990510A,13h38m06s,-80° 30',3',1.62,0.35,0.17,mag-AB-extcorr-03-05-2023/990510A_magAB_extcorr.txt,mag-03-05-2023/990510A_mag.txt
990705A,05h09m32s,-72° 09',6',0.842,,,mag-AB-extcorr-03-05-2023/990705A_magAB_extcorr.txt,mag-03-05-2023/990705A_mag.txt
990712A,22h31m50s,-73° 24',2',0.434,0.99,0.02,mag-AB-extcorr-03-05-2023/990712A_magAB_extcorr.txt,mag-03-05-2023/990712A_mag.txt
991208A,16h33m55s,+46° 26',14*1',0.706,0.75,0.03,mag-AB-extcorr-03-05-2023/991208A_magAB_extcorr.txt,mag-03-05-2023/991208A_mag.txt
991216A,05h19m31s,+11° 11',3'*5',1.02,0.57,0.08,mag-AB-extcorr-03-05-2023/991216A_magAB_extcorr.txt,mag-03-05-2023/991216A_mag.txt
000131A,06h13m33s,-51° 56',3.5'*16',4.5,0.66,0.34,mag-AB-extcorr-03-05-2023/000131A_magAB_extcorr.txt,mag-03-05-2023/000131A_mag.txt
000301C,16h20m22s,+29° 25',6'*8',2.03,0.7,0.09,mag-AB-extcorr-03-05-2023/000301C_magAB_extcorr.txt,mag-03-05-2023/000301C_mag.txt
000418A,12h25m21s,+20° 05',4'*8',1.118,1.9,0.15,mag-AB-extcorr-03-05-2023/000418A_magAB_extcorr.txt,mag-03-05-2023/000418A_mag.txt
000911A,02h18m42s,+07° 48',3'*10',1.058,0.75,0.26,mag-AB-extcorr-03-05-2023/000911A_magAB_extcorr.txt,mag-03-05-2023/000911A_mag.txt
000926A,17h04m15s,+51° 46',3'*10',2.04,1,0.18,mag-AB-extcorr-03-05-2023/000926A_magAB_extcorr.txt,mag-03-05-2023/000926A_mag.txt
010222A,14h52m12s,+43° 01',2.5',1.47688,1.07,0.09,mag-AB-extcorr-03-05-2023/010222A_magAB_extcorr.txt,mag-03-05-2023/010222A_mag.txt
010921A,22h55m35s,+40° 56',20*15',0.45,0.35,0.19,mag-AB-extcorr-03-05-2023/010921A_magAB_extcorr.txt,mag-03-05-2023/010921A_mag.txt
